sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2023-05-11;2240,04;2211,42;2229,91;;1;;
2023-05-10;2232,25;2189,73;2208,66;;1;;
2023-05-09;2236,68;2208,52;2223,58;;1;;
2023-05-08;2245,21;2229,39;2239,10;;1;;
2023-05-05;2240,48;2210,00;2240,48;;1;;
2023-05-04;2235,29;2219,91;2228,17;;1;;
2023-05-03;2255,60;2228,82;2238,76;;1;;
2023-05-02;2273,63;2232,29;2235,03;;1;;
2023-04-28;2285,89;2247,79;2270,58;;1;;
2023-04-27;2284,63;2225,85;2271,10;;1;;
2023-04-26;2247,71;2221,17;2240,08;;1;;
2023-04-25;2256,50;2237,10;2249,20;;1;;
2023-04-24;2264,67;2247,27;2259,82;;1;;
2023-04-21;2259,46;2235,96;2246,41;;1;;
2023-04-20;2257,37;2241,39;2248,82;;1;;
2023-04-19;2255,88;2242,27;2249,68;;1;;
2023-04-18;2265,81;2245,60;2256,28;;1;;
2023-04-17;2263,60;2245,51;2249,67;;1;;
2023-04-14;2254,63;2231,05;2249,47;;1;;
2023-04-13;2225,14;2206,77;2225,14;;1;;
2023-04-12;2239,01;2209,77;2215,15;;1;;
2023-04-11;2211,18;2197,96;2211,18;;1;;
2023-04-06;2185,33;2171,50;2184,73;;1;;
2023-04-05;2209,72;2166,57;2174,94;;1;;
2023-04-04;2238,16;2211,42;2215,91;;1;;
2023-04-03;2220,13;2208,09;2211,02;;1;;
2023-03-31;2225,63;2193,57;2223,74;;1;;
2023-03-30;2199,61;2152,84;2199,44;;1;;
2023-03-29;2149,36;2128,68;2149,36;;1;;
2023-03-28;2132,21;2110,49;2115,61;;1;;
2023-03-27;2129,54;2100,43;2111,77;;1;;
2023-03-24;2122,74;2083,53;2087,81;;1;;
2023-03-23;2140,54;2111,74;2136,00;;1;;
2023-03-22;2155,36;2139,29;2146,83;;1;;
2023-03-21;2152,64;2130,36;2145,40;;1;;
2023-03-20;2130,44;2050,43;2118,71;;1;;
2023-03-17;2145,89;2076,04;2088,02;;1;;
2023-03-16;2134,36;2085,40;2125,23;;1;;
2023-03-15;2179,73;2096,69;2096,80;;1;;
2023-03-14;2193,75;2146,20;2186,36;;1;;
2023-03-13;2202,15;2137,58;2156,58;;1;;
2023-03-10;2213,56;2178,64;2192,06;;1;;
2023-03-09;2252,57;2228,71;2245,11;;1;;
2023-03-08;2253,47;2238,30;2248,52;;1;;
2023-03-07;2268,96;2243,41;2244,66;;1;;
2023-03-06;2268,69;2253,20;2261,86;;1;;
2023-03-03;2254,32;2223,58;2252,76;;1;;
2023-03-02;2219,81;2198,26;2214,67;;1;;
2023-03-01;2243,98;2210,49;2214,68;;1;;
2023-02-28;2233,20;2214,32;2226,75;;1;;
2023-02-27;2244,89;2216,44;2234,99;;1;;
2023-02-24;2240,01;2198,17;2206,43;;1;;
2023-02-23;2242,02;2225,46;2227,58;;1;;
2023-02-22;2225,48;2202,85;2223,30;;1;;
2023-02-21;2246,29;2216,09;2223,49;;1;;
2023-02-20;2254,57;2235,59;2238,45;;1;;
2023-02-17;2257,93;2230,71;2249,38;;1;;
2023-02-16;2268,93;2241,96;2256,54;;1;;
2023-02-15;2255,47;2224,93;2255,14;;1;;
2023-02-14;2254,38;2224,80;2232,45;;1;;
2023-02-13;2234,98;2206,86;2233,18;;1;;
2023-02-10;2227,29;2189,09;2200,77;;1;;
2023-02-09;2265,72;2232,15;2235,37;;1;;
2023-02-08;2269,51;2244,10;2244,14;;1;;
2023-02-07;2267,29;2250,07;2254,80;;1;;
2023-02-06;2282,73;2253,04;2258,20;;1;;
2023-02-03;2295,30;2265,28;2294,52;;1;;
2023-02-02;2287,54;2226,35;2287,40;;1;;
2023-02-01;2215,47;2195,51;2210,13;;1;;
2023-01-31;2202,89;2184,34;2198,54;;1;;
2023-01-30;2204,23;2183,39;2200,08;;1;;
2023-01-27;2204,15;2187,29;2197,66;;1;;
2023-01-26;2208,69;2184,04;2190,53;;1;;
2023-01-25;2218,95;2193,52;2204,30;;1;;
2023-01-24;2229,46;2204,42;2216,17;;1;;
2023-01-23;2226,24;2204,61;2224,53;;1;;
2023-01-20;2197,73;2179,00;2197,42;;1;;
2023-01-19;2210,10;2173,89;2173,89;;1;;
2023-01-18;2234,51;2211,74;2218,74;;1;;
2023-01-17;2225,22;2209,96;2212,83;;1;;
2023-01-16;2226,08;2208,97;2225,10;;1;;
2023-01-13;2225,87;2204,74;2217,18;;1;;
2023-01-12;2234,70;2200,29;2225,27;;1;;
2023-01-11;2216,88;2183,40;2207,80;;1;;
2023-01-10;2184,19;2168,61;2180,70;;1;;
2023-01-09;2191,82;2160,59;2191,82;;1;;
2023-01-05;2137,54;2110,41;2137,44;;1;;
2023-01-04;2120,55;2095,51;2120,35;;1;;
2023-01-03;2104,63;2069,67;2090,03;;1;;
2023-01-02;2075,76;2054,80;2075,76;;1;;
2022-12-30;2072,24;2043,23;2043,40;;1;;
2022-12-29;2075,41;2042,83;2075,31;;1;;
2022-12-28;2070,41;2048,16;2052,76;;1;;
2022-12-27;2079,66;2062,80;2067,61;;1;;
2022-12-23;2061,16;2043,97;2054,33;;1;;
2022-12-22;2076,70;2039,90;2043,30;;1;;
2022-12-21;2066,05;2043,07;2065,13;;1;;
2022-12-20;2043,88;2023,77;2036,42;;1;;
